image_uid,model,top1,top2,top3,top4,top5,p1,p2,p3,p4,p5,entropy
img_0000,resnet50,brassiere,maillot,bikini,maillot tank suit,dumbbell,0.24526171386241913,0.07869716733694077,0.0538768470287323,0.03835393488407135,0.021938946098089218,4.793370246887207
img_0001,resnet50,microphone,lipstick,pick,bow tie,bottlecap,0.15280762314796448,0.026972146704792976,0.020161787047982216,0.011875675991177559,0.011737320572137833,5.817503929138184
img_0002,resnet50,fur coat,brassiere,bikini,jersey,academic gown,0.09036529809236526,0.043188706040382385,0.030033031478524208,0.021589772775769234,0.02056090719997883,5.686014652252197
img_0003,resnet50,suit,Windsor tie,oboe,bassoon,bow tie,0.31695255637168884,0.11569293588399887,0.03225250914692879,0.023596439510583878,0.014452414587140083,4.4079132080078125
img_0004,resnet50,cowboy hat,sombrero,bow tie,hand-held computer,suit,0.14076180756092072,0.06495090574026108,0.04845632240176201,0.019578125327825546,0.01761840470135212,5.494716167449951
img_0005,resnet50,cowboy hat,revolver,sombrero,banjo,accordion,0.07616531848907471,0.06643257290124893,0.04729212075471878,0.028129318729043007,0.028019655495882034,5.838508605957031
img_0006,resnet50,bow tie,suit,bassoon,oboe,flute,0.6009564995765686,0.014811405912041664,0.01427183672785759,0.011831768788397312,0.006572521757334471,3.2061607837677
img_0007,resnet50,microphone,ping-pong ball,sax,bow tie,mask,0.11162811517715454,0.044057052582502365,0.03286856412887573,0.029463188722729683,0.023720622062683105,5.507993698120117
img_0008,resnet50,suit,Windsor tie,bow tie,tennis ball,torch,0.2242356240749359,0.09420844912528992,0.017156632617115974,0.014503879472613335,0.013893865048885345,5.098771095275879
img_0009,resnet50,suit,Windsor tie,oboe,bassoon,French horn,0.22582457959651947,0.16138955950737,0.0128150200471282,0.012715292163193226,0.008536643348634243,4.974551200866699
img_0010,resnet50,Windsor tie,suit,torch,bow tie,picket fence,0.2143917977809906,0.15084347128868103,0.009737732820212841,0.006627599708735943,0.006022723391652107,5.133090496063232
img_0011,resnet50,suit,Windsor tie,bow tie,flagpole,bolo tie,0.32581135630607605,0.03213392198085785,0.02802770771086216,0.019452180713415146,0.016126424074172974,4.715646743774414
img_0012,resnet50,German shepherd,malinois,bulletproof vest,limousine,briard,0.44169342517852783,0.022380592301487923,0.008233360014855862,0.007237587124109268,0.005062528420239687,4.387778282165527
img_0013,resnet50,suit,groom,bassoon,oboe,bow tie,0.0964154601097107,0.07597355544567108,0.042617302387952805,0.03941455855965614,0.0365951806306839,5.5005269050598145
img_0014,resnet50,bow tie,suit,oboe,bassoon,Windsor tie,0.3035798966884613,0.04407784715294838,0.014677973464131355,0.01097184419631958,0.007209578063338995,5.135620594024658
img_0015,resnet50,suit,sweatshirt,wig,pick,bow tie,0.05314245447516441,0.04320450872182846,0.02605176344513893,0.02219638042151928,0.021304400637745857,5.96652889251709
img_0016,resnet50,pick,microphone,safety pin,syringe,bassoon,0.1294516772031784,0.10565537959337234,0.08006501197814941,0.03363783285021782,0.018722273409366608,5.174347877502441
img_0017,resnet50,suit,bow tie,Windsor tie,jersey,comic book,0.2703772187232971,0.024807503446936607,0.023350054398179054,0.016460934653878212,0.008374645374715328,5.199054718017578
img_0018,resnet50,iPod,cellular telephone,hand-held computer,radio,modem,0.17915645241737366,0.05861976742744446,0.03137689828872681,0.010226457379758358,0.010087594389915466,5.738039016723633
