image_uid,n_subjects,concept_pref_total,concept_pref_mtl_total,z_max_mean,z_max_mtl_mean,n_sternberg,category,fine,concept_per_subject,concept_mtl_per_subject,frac_subjects_with_concept
img_0209,3,8.0,1.0,1.6070377085888143,1.2193944621864576,1,animal,wild mammal,2.6666666666666665,0.3333333333333333,0.6666666666666666
img_0269,2,5.0,5.0,1.142856965503745,1.050620648009912,1,vehicle,truck or off-road vehicle,2.5,2.5,0.5
img_0312,1,2.0,2.0,1.1504136474060764,1.1504136474060764,0,vehicle,car,2.0,2.0,1.0
img_0055,9,10.0,7.0,0.8731524500832474,0.815573858018204,2,face_person,actor,1.1111111111111112,0.7777777777777778,0.1111111111111111
img_0266,1,1.0,1.0,2.5981586359875988,2.5981586359875988,0,scene_with_people,fictional movie character,1.0,1.0,1.0
img_0168,1,1.0,1.0,1.025694024727435,1.025694024727435,1,cartoon_art,fictional movie character,1.0,1.0,1.0
img_0301,1,1.0,1.0,0.9078975370439936,0.9078975370439936,0,vehicle,car,1.0,1.0,1.0
img_0136,1,1.0,0.0,0.9531186830870342,0.9531186830870342,0,face_person,athlete,1.0,0.0,1.0
img_0152,1,1.0,1.0,1.083654502727215,1.083654502727215,0,face_person,actor,1.0,1.0,1.0
img_0258,2,2.0,2.0,1.1944871775765171,1.1944871775765171,0,animal,horse,1.0,1.0,1.0
img_0340,1,1.0,1.0,1.1100848476946736,1.1100848476946736,1,food,cooked meal,1.0,1.0,1.0
img_0255,2,2.0,2.0,1.2499529335396806,1.2499529335396806,0,face_person,athlete,1.0,1.0,1.0
img_0154,1,1.0,1.0,2.377390661299383,2.377390661299383,1,face_person,musician,1.0,1.0,1.0
img_0124,1,1.0,0.0,1.4312464275201344,0.6133714024302966,0,landmark_place,famous monument,1.0,0.0,1.0
img_0147,1,1.0,1.0,3.901694638725257,3.901694638725257,1,face_person,fictional movie character,1.0,1.0,1.0
img_0071,1,1.0,1.0,1.867116697052302,1.867116697052302,1,object,watch or jewelry,1.0,1.0,1.0
img_0131,1,1.0,0.0,1.9560974374028184,0.497068829376142,0,landmark_place,temple or church,1.0,0.0,1.0
img_0130,1,1.0,1.0,1.6302766222489464,1.6302766222489464,0,landmark_place,temple or church,1.0,1.0,1.0
img_0108,1,1.0,1.0,1.132200596215322,1.132200596215322,0,face_person,fictional movie character,1.0,1.0,1.0
img_0146,1,1.0,1.0,1.6057977812879378,1.6057977812879378,1,face_person,scientist,1.0,1.0,1.0
img_0213,3,2.0,2.0,0.7556456465976975,0.9717100748515693,1,animal,marine animal,0.6666666666666666,0.6666666666666666,0.3333333333333333
img_0219,3,2.0,2.0,0.5926475936290937,0.564593945537655,0,vehicle,truck or off-road vehicle,0.6666666666666666,0.6666666666666666,0.3333333333333333
img_0210,3,2.0,2.0,1.038870013683197,1.0412542912268743,0,animal,baby,0.6666666666666666,0.6666666666666666,0.3333333333333333
