task,area,category,n_concept_cells,n_pref,frac_pref,frac_shown_expected,odds_ratio,p,q
screening,MTL,animal,67,8,0.11940298507462686,0.12153518123667355,0.8318827301878149,0.8535147404847742,1.0
screening,MTL,cartoon_art,67,0,0.0,0.009476427386875144,0.0,1.0,1.0
screening,MTL,face_person,67,40,0.5970149253731343,0.46008054963278816,1.8998825915252429,0.014755721996526458,0.13280149796873814
screening,MTL,food,67,1,0.014925373134328358,0.017294479981047148,0.5303030303030303,1.0,1.0
screening,MTL,landmark_place,67,6,0.08955223880597014,0.15351812366737733,0.5910343827070942,0.27195669300688186,0.7562065003605508
screening,MTL,landscape_nature,67,2,0.029850746268656716,0.043591565979625685,0.46656200941915227,0.42011472242252823,0.7562065003605508
screening,MTL,object,67,1,0.014925373134328358,0.039327173655531796,0.3181818181818182,0.35230198022976644,0.7562065003605508
screening,MTL,scene_with_people,67,5,0.07462686567164178,0.04856669035773512,1.6455972101133391,0.3672305502309763,0.7562065003605508
screening,MTL,vehicle,67,4,0.05970149253731343,0.10660980810234547,0.6870409855484483,0.6447297435374661,0.9670946153061992
screening,amygdala,animal,50,6,0.12,0.1220634920634919,0.8751248751248751,1.0,1.0
screening,amygdala,cartoon_art,50,0,0.0,0.00984126984126984,0.0,1.0,1.0
screening,amygdala,face_person,50,34,0.68,0.4566666666666667,2.624586092715232,0.0018179734925155597,0.016361761432640037
screening,amygdala,food,50,0,0.0,0.017619047619047618,0.0,1.0,1.0
screening,amygdala,landmark_place,50,3,0.06,0.14920634920634906,0.327852998065764,0.06631036990410255,0.2983966645684615
screening,amygdala,landscape_nature,50,1,0.02,0.041111111111111105,0.35190292333149475,0.5069437924694293,1.0
screening,amygdala,object,50,1,0.02,0.04206349206349202,0.4897959183673469,0.7138105388020154,1.0
screening,amygdala,scene_with_people,50,3,0.06,0.04825396825396825,1.2825797872340425,0.7272352844172105,1.0
screening,amygdala,vehicle,50,2,0.04,0.1131746031746032,0.46056547619047616,0.4176054445466947,1.0
screening,hippocampus,animal,17,2,0.11764705882352941,0.1199813258636788,0.7128205128205128,1.0,1.0
screening,hippocampus,cartoon_art,17,0,0.0,0.008403361344537815,0.0,1.0,1.0
