group,subject,unit,area,hemisphere,pref_image,pref_desc,pref_desc_type,n_images,text_variant,text_centering,image_space,rho_text,rho_text_null,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,raw,clip_embed,0.14080201967921255,-0.005660332811037365,0.23003625512702083,0.005539383882362852,0.1838217434352151,0.5932203419930882
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,raw,clip_ln_post,0.14080201967921255,-0.005660332811037365,0.26679969478230925,-0.03683517635126748,0.231692383986671,0.6309718721415764
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,raw,resnet50_avgpool,0.14080201967921255,-0.005660332811037365,0.29657858520267666,-0.07526732835685536,0.2734650031663136,0.6573903879025931
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,centred,clip_embed,0.15086380992762408,-0.20229701696818841,0.23003625512702083,0.00012526129333566277,0.17566774132380913,0.655425998742098
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,centred,clip_ln_post,0.15086380992762408,-0.20229701696818841,0.26679969478230925,-0.05768572368036129,0.22959245922711496,0.7118140414388725
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,identity+fine,centred,resnet50_avgpool,0.15086380992762408,-0.20229701696818841,0.29657858520267666,-0.09665384971150157,0.27465641133755536,0.723524822972593
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,raw,clip_embed,-0.09362571335348169,-0.22292746446700965,0.23003625512702083,-0.10251570109351384,0.23362942223600244,0.026541818183495096
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,raw,clip_ln_post,-0.09362571335348169,-0.22292746446700965,0.26679969478230925,-0.07264583303342524,0.2606019489596492,-0.08955967792773632
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,raw,resnet50_avgpool,-0.09362571335348169,-0.22292746446700965,0.29657858520267666,-0.03054231227948059,0.28416846454107986,-0.2197409766372599
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,centred,clip_embed,0.13531351725014082,-0.2551565977644966,0.23003625512702083,0.009670429249364426,0.1879963128688809,0.5541722469717476
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,centred,clip_ln_post,0.13531351725014082,-0.2551565977644966,0.26679969478230925,0.021781139849189373,0.2330393329745776,0.4363799891752526
